Case001-intraop-pre_dura-,training
Case002-intraop-pre_dura-,training
Case003-intraop-pre_dura-,training
Case004-intraop-pre_dura-,training
Case006-intraop-pre_dura-,training
Case007-intraop-pre_dura-,training
Case008-intraop-pre_dura-,training
Case011-intraop-pre_dura-,training
Case012-intraop-pre_dura-,training
Case013-intraop-pre_dura-,training
Case014-intraop-pre_dura-,training
Case015-intraop-pre_dura-,training
Case017-intraop-pre_dura-,training
Case018-intraop-pre_dura-,training
Case019-intraop-pre_dura-,training
Case020-intraop-pre_dura-,training
Case021-intraop-pre_dura-,training
Case022-intraop-pre_dura-,training
Case023-intraop-pre_dura-,training
Case024-intraop-pre_dura-,training
Case025-intraop-pre_dura-,training
Case026-intraop-pre_dura-,training
Case027-intraop-pre_dura-,training
Case028-intraop-pre_dura-,training
Case029-intraop-pre_dura-,training
Case030-intraop-pre_dura-,training
Case031-intraop-pre_dura-,training
Case032-intraop-pre_dura-,training
Case034-intraop-pre_dura-,training
Case035-intraop-pre_dura-,training
Case036-intraop-pre_dura-,training
Case037-intraop-pre_dura-,training
Case038-intraop-pre_dura-,training
Case039-intraop-pre_dura-,training
Case040-intraop-pre_dura-,training
Case041-intraop-pre_dura-,training
Case042-intraop-pre_dura-,training
Case043-intraop-pre_dura-,training
Case044-intraop-pre_dura-,training
Case045-intraop-pre_dura-,training
Case046-intraop-pre_dura-,training
Case048-intraop-pre_dura-,training
Case049-intraop-pre_dura-,training
Case050-intraop-pre_dura-,training
Case051-intraop-pre_dura-,training
Case052-intraop-pre_dura-,training
Case053-intraop-pre_dura-,training
Case054-intraop-pre_dura-,training
Case055-intraop-pre_dura-,training
Case056-intraop-pre_dura-,training
Case057-intraop-pre_dura-,training
Case058-intraop-pre_dura-,training
Case059-intraop-pre_dura-,training
Case060-intraop-pre_dura-,training
Case061-intraop-pre_dura-,training
Case062-intraop-pre_dura-,training
Case063-intraop-pre_dura-,training
Case064-intraop-pre_dura-,training
Case065-intraop-pre_dura-,training
Case066-intraop-pre_dura-,training
Case067-intraop-pre_dura-,training
Case068-intraop-pre_dura-,training
Case069-intraop-pre_dura-,training
Case070-intraop-pre_dura-,training
Case071-intraop-pre_dura-,training
Case074-intraop-pre_dura-,training
Case075-intraop-pre_dura-,training
Case076-intraop-pre_dura-,training
Case077-intraop-pre_dura-,training
Case079-intraop-pre_dura-,training
Case080-intraop-pre_dura-,training
Case081-intraop-pre_dura-,training
Case082-intraop-pre_dura-,training
Case083-intraop-pre_dura-,training
Case084-intraop-pre_dura-,training
Case085-intraop-pre_dura-,training
Case086-intraop-pre_dura-,training
Case087-intraop-pre_dura-,training
Case088-intraop-pre_dura-,training
Case089-intraop-pre_dura-,training
Case090-intraop-pre_dura-,training
Case091-intraop-pre_dura-,training
Case092-intraop-pre_dura-,training
Case093-intraop-pre_dura-,validation
Case094-intraop-pre_dura-,validation
Case095-intraop-pre_dura-,validation
Case096-intraop-pre_dura-,validation
Case097-intraop-pre_dura-,validation
Case098-intraop-pre_dura-,inference
Case099-intraop-pre_dura-,inference
Case100-intraop-pre_dura-,inference
Case101-intraop-pre_dura-,inference
Case102-intraop-pre_dura-,inference
Case103-intraop-pre_dura-,inference
Case104-intraop-pre_dura-,inference
Case105-intraop-pre_dura-,inference
Case107-intraop-pre_dura-,inference
Case108-intraop-pre_dura-,inference
Case109-intraop-pre_dura-,inference
Case110-intraop-pre_dura-,inference
Case111-intraop-pre_dura-,inference
Case112-intraop-pre_dura-,inference
Case113-intraop-pre_dura-,inference
Case114-intraop-pre_dura-,inference
